id,name,followers,genre,popularity
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,1175180,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol']",74
4ufh0WuMZh6y4Dmdnklvdl,BAEKHYUN,2669093,['k-pop'],63
6jJ0s89eD6GaHleKKya26X,Katy Perry,29903757,['pop'],82
2UwqpfQtNuhBwviIC0f2ie,Damso,4848439,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap belge', 'rap conscient']",73
4zoRNhOhsGX3w8yBAnFSQ8,Paul Russell,127998,['indie r&b'],65
7kjSuFGKhLm8b5qXoMhRkJ,Libianca,352500,['afrobeats'],69
5AZuEF0feCXMkUCwQiQlW7,Marracash,2205939,"['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap napoletano']",73
7CJgLPEqiIRuneZSolpawQ,Taco Hemingway,1411557,"['polish hip hop', 'polish trap']",74
2WBJQGf1bT1kxuoqziH5g4,Purple Disco Machine,585401,"['deep house', 'house']",72
6LEG9Ld1aLImEFEVHdWNSB,AP Dhillon,4384749,"['desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']",76
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,724724,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",76
0NjXtqYWpnV055KhfZgtuY,Saad Lamjarred,1990646,"['arab pop', 'moroccan pop', 'rif', 'shaabi']",62
12vb80Km0Ew53ABfJOepVz,Ñengo Flow,4971136,"['reggaeton', 'trap latino', 'urbano latino']",80
1GMwSpFzrLd12jUX15bHB6,BLOK3,633916,['turkce drill'],71
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,7953605,"['latin viral pop', 'pop', 'r&b en espanol']",80
1dpqJqIuNqideTvmxBsSku,Mabel Matiz,3600120,['turkish pop'],69
0jdNdfi4vAuVi7a6cPDFBM,Lazza,1806127,"['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",74
687cZJR45JO7jhk1LHIbgq,Tems,1253462,"['afro r&b', 'alte', 'nigerian pop']",74
3NH8t45zOTqzlZgBvZRjvB,PNL,7755713,"['french hip hop', 'pop urbaine']",72
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,11277834,['pop'],78
4kcQWQDK0u9AftVSpdrAgk,Luck Ra,613953,"['trap argentino', 'trap triste']",71
1GKIlPFdcewHtpDVCQ8zmJ,Brray,320879,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",75
7f4ignuCJhLXfZ9giKT7rH,NCT 127,7201727,"['k-pop', 'k-pop boy group']",72
